NAME,BA,MARS,SEATS,SFWAIT,SFBOARD,GR,GRMARS,SUBA,SUBB,CARRIER
B1,B,FALSE,83,1809,456,3,,,,SW
B2,B,FALSE,129,2532,594,3,,,,
B3,B,FALSE,190,2532,594,3,,,,SW
B4,B,FALSE,190,2532,594,3,,,,
B5,B,FALSE,190,2532,594,3,,,,SW
B6,B,TRUE,190,2532,594,6,3,B6a,B6b,
B7,B,TRUE,190,2532,594,5,3,B7a,B7b,SW
B9,B,FALSE,190,2532,594,3,,,,SW
B10,B,TRUE,190,2532,594,6,3,B10a,B10b,
B11,B,FALSE,190,2532,594,3,,,,SW
B13,B,FALSE,190,2532,594,3,,,,SW
B14,B,TRUE,190,2532,594,6,3,B14a,B14b,
B15,B,FALSE,190,2532,594,3,,,,SW
B17,B,FALSE,190,2532,594,3,,,,SW
B18,B,TRUE,190,2532,594,6,3,B18a,B18b,
B19,B,FALSE,190,2532,594,3,,,,AA
B20,B,TRUE,190,2532,594,5,3,B20a,B20b,
B21,B,FALSE,190,2532,594,3,,,,AA
B22,B,FALSE,190,2532,594,3,,,,AA
B23,B,FALSE,190,2532,594,3,,,,AA
B24,B,TRUE,190,2532,594,5,3,B24a,B24b,AA
C1,C,FALSE,,,,3,,,,DL
C2,C,FALSE,,,,3,,,,DL
C3,C,FALSE,,,,3,,,,DL
C4,C,FALSE,,,,3,,,,DL
C5,C,FALSE,,,,5,,,,DL
C7,C,TRUE,,,,5,3,C7a,C9,DL
C8,C,TRUE,,,,5,3,C8a,C6,DL
C10,C,FALSE,,,,3,,,,DL
