GATE,BAREA,TERMINAL,STRATA,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,GETTO1,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
57,D,,2,9,,2090,24,,3,9:00,11:45,5,5,1,2,2,1,2,,14,,3,1,2,,
57,D,,2,9,,2090,24,,3,9:00,11:45,2,2,0,2,1,2,1,,14,,7,1,0,,
4,A,,2,24,,2609,47,,5,8:30,12:45,2,7,1,2,1,2,1,,14,,6,2,0,,
4,A,,2,24,,2609,47,,5,9:30,12:45,2,6,1,2,1,2,2,,14,,3,2,0,,
4,A,,2,24,,2609,47,,5,9:45,12:45,5,8,1,2,1,2,2,,14,,5,1,3,,
68,F,,2,33,,871,95,,4,11:30,16:02,2,3,1,1,0,2,2,,19,,4,1,0,,
44,C,,2,15,,4683,50,,1,N,16:50,2,4,1,1,2,1,1,,19,,7,1,2,,
54,D,,3,35,,30,60,,2,19:30,21:20,2,9,1,1,2,2,2,,19,,3,2,4,,
54,D,,3,35,,30,60,,2,19:30,21:20,2,9,1,1,2,2,2,,19,,3,1,4,,
58,D,,1,9,,802,24,,3,7:00,8:20,1,8,1,2,2,2,2,,19,,3,1,3,,
6,A,,2,12,,284,48,,6,1:00,16:55,2,1,1,1,2,1,2,,19,,4,1,4,,
93,G,,3,5,,7,5,,9,19:00,21:45,8,3,0,1,2,0,2,,19,,2,2,0,,
93,G,,3,5,,7,5,,9,20:30,21:45,6,3,1,2,1,1,2,,19,,7,2,0,,
93,G,,3,5,,7,5,,9,19:00,21:45,2,2,1,1,2,0,2,,19,,7,2,1,,
93,G,,3,5,,7,5,,9,19:00,21:45,1,3,2,2,2,1,1,,19,,6,2,0,,
93,G,,3,5,,7,5,,9,18:00,21:45,2,7,1,2,1,1,2,,19,,6,2,2,,
73,F,,2,32,,444,11,,2,15:00,16:03,5,3,2,2,2,1,2,,19,,3,1,1,,
68,F,,2,33,,871,95,,4,13:50,16:02,2,9,1,2,2,1,2,,19,,4,1,0,,
70,F,,2,33,,5604,14,,4,8:00,11:16,2,7,1,0,2,1,2,,19,,6,2,2,,
70,F,,2,33,,5604,14,,4,8:30,11:16,2,7,1,2,2,1,2,,19,,5,2,0,,
70,F,,2,33,,5604,14,,4,9:00,11:16,2,6,1,2,2,1,2,,19,,3,1,2,,
31,B,,1,28,,1727,50,,1,7:30,9:05,2,4,1,1,2,1,2,,19,,5,2,0,,
44,C,,3,15,,4770,50,,1,16:20,17:50,1,3,1,1,1,1,2,,19,,4,1,3,,
44,C,,3,15,,4770,50,,1,16:30,17:50,2,9,0,1,2,0,2,,19,,5,0,4,,
44,C,,2,15,,4683,50,,1,15:30,16:50,1,7,1,1,2,2,2,,19,,3,2,0,,
44,C,,2,15,,4683,50,,1,15:00,16:50,2,4,1,2,2,1,2,,19,,6,2,0,,
44,C,,2,15,,4683,50,,1,13:45,16:50,2,5,1,1,2,2,2,,19,,4,2,2,,
