GATE,BAREA,TERMINAL,STRATA,PEAK,AIRLINE,AIRLINESTR,FLIGHT,DEST,DESTSTR,DESTGEO,ARRTIME,DEPTIME,PURP1,PURP2,PURP3,GETTO1,GETTO2,GETTO3,BAGS,SHOP,NOSHOP,FOOD,NOFOOD,TSAPRE,HOME,PET,AGE,GENDER,INCOME,HIFLYER,WEIGHT
12,,,1,1,21,,1437,49,,1,0.356944444,0.392361111,1,8,,2,10,,2,1,,2,,,1,,2,1,1,2,0.553675
12,,,1,1,21,,1437,49,,1,0.333333333,0.392361111,1,8,,2,10,,2,2,,2,,,5,,6,1,0,3,0.553675
12,,,1,1,21,,1437,49,,1,0.291666667,0.392361111,1,8,,2,10,,2,2,,2,,,1,,4,2,2,3,0.553675
12,,,1,1,21,,1437,49,,1,0.3125,0.392361111,1,8,,1,10,,1,2,,1,,,90,,4,1,2,2,0.553675
12,,,1,1,21,,1437,49,,1,0.270833333,0.392361111,1,8,,8,10,,2,1,,1,,,10,,3,1,3,1,0.553675
12,,,1,1,21,,1437,49,,1,0.333333333,0.392361111,2,8,,2,10,,1,2,,2,,,1,,5,1,4,2,0.553675
43,,,1,1,18,,144,25,,1,0.350694444,0.440972222,6,8,,1,10,,1,2,,1,,,5,,9,1,1,2,1.266708
43,,,1,1,18,,144,25,,1,0.392361111,0.440972222,2,8,,2,10,,1,2,,2,,,2,,5,2,5,3,1.266708
43,,,1,1,18,,144,25,,1,0.354166667,0.440972222,6,8,,1,10,,1,2,,1,,,3,,5,1,5,2,1.266708
43,,,1,1,18,,144,25,,1,0.395833333,0.440972222,1,8,,2,10,,1,0,,0,,,8,,3,2,2,3,1.266708
43,,,1,1,18,,144,25,,1,0.34375,0.440972222,2,8,,10,,,2,2,,1,,,5,,7,2,2,2,1.266708
43,,,1,1,18,,144,25,,1,0.354166667,0.440972222,3,8,,1,10,,1,1,,0,,,3,,6,2,2,2,1.266708
43,,,1,1,18,,144,25,,1,0.364583333,0.440972222,3,8,,6,10,,2,1,,2,,,1,,3,2,2,2,1.266708
43,,,1,1,18,,144,25,,1,N,0.440972222,1,8,,6,10,,1,2,,1,,,11,,3,1,2,3,1.266708
43,,,1,1,18,,144,25,,1,0.357638889,0.440972222,2,3,8,2,10,,1,0,,0,,,10,,2,2,2,2,1.266708
43,,,1,1,18,,144,25,,1,0.3125,0.440972222,3,8,,11,10,,2,1,,1,,,9,,7,2,0,2,1.266708
43,,,1,1,18,,144,25,,1,0.916666667,0.440972222,3,8,,5,10,,1,2,,1,,,15,,2,1,1,2,1.266708
43,,,1,1,18,,144,25,,1,0.375,0.440972222,2,8,,3,10,,2,2,,2,,,7,,3,1,4,2,1.266708
43,,,1,1,18,,144,25,,1,0.375,0.440972222,9,8,,2,10,,1,1,,2,,,99,,0,0,0,0,1.266708
98,,,1,2,33,,776,50,,1,0.083333333,0.324305556,2,3,8,3,10,,2,1,,1,,,13,,9,0,3,2,0.595689
