name,code,gate,flightID,loadFactor,seats,count,arrival,departure,delta.arrival,color
"American Airlines to Phoenix, Airbus Industries A321","AA","B18a","fe7992cc-194b-4466-84f7-e838a164a5a5","1","183","0","0.03541666666666665","0.25","0.21458333333333335","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B23","92a8e7e4-cdd9-47d2-a1c6-b89ac5c2d581","1","183","0","0.3680555555555556","0.4236111111111111","0.055555555555555525","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B24b","ff78450d-acf7-4ec5-beea-bf78af64e0f2","1","183","0","0.4131944444444444","0.4583333333333333","0.045138888888888895","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B17","f0dbd4a7-699e-4755-b0ef-6bdf2f8e6f55","1","183","0","0.4305555555555556","0.46875","0.03819444444444442","null"
"American Airlines to New York, Airbus Industries A321","AA","B24a","5bf2cdbd-9dcb-45b6-8487-28dafd7abfdf","1","102","0","0.45486111111111105","0.517361111111111","0.0625","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B23","54ab65d7-c31b-4148-a7c0-28d4ec73b340","1","183","0","0.4583333333333333","0.5","0.041666666666666685","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B15","b5ba1a3b-2999-4a80-b754-47ae9ae79f49","1","183","0","0.5145833333333334","0.5555555555555556","0.04097222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B13","71d8944d-2410-4a8e-b9e4-afbca098e083","1","183","0","0.5222222222222223","0.5625","0.040277777777777746","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B19","1fd764f8-f2e8-4ad8-9f85-b43e995a8f72","1","183","0","0.5493055555555556","0.6527777777777778","0.10347222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B21","8d71a3c4-fea0-47d4-8ca4-9231c2baa2c3","1","183","0","0.6319444444444444","0.7222222222222222","0.09027777777777779","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B24a","50facf6c-4ac9-486b-903b-b8bf4285ed03","1","183","0","0.65625","0.7152777777777778","0.05902777777777779","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B24a","65dd91a2-d796-41b5-b6c6-56793a00fb5f","1","183","0","0.7875","0.9201388888888888","0.13263888888888886","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B21","2ec90b92-46f0-4289-8036-ad197272fcf0","1","183","0","0.8180555555555555","0.8541666666666666","0.036111111111111094","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B21","d196a0ff-ace7-45cb-a723-7138a3325b31","1","183","0","0.8819444444444443","0.9305555555555555","0.04861111111111116","null"
"American Airlines to New York, Airbus Industries A321","AA","B24b","ee943b87-c95d-47f7-b03b-613b04f2b52a","1","102","0","0.9027777777777778","0.9583333333333334","0.05555555555555558","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B19","77444bb1-1fe2-4762-9327-37dd9401f15e","1","183","0","0.3144444444","0.3854166666666667","0.07097222226666666","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B18b","48c50077-5615-40fb-95d0-5326f87ab12c","1","183","0","0.1859722221777778","0.2569444444444445","0.07097222226666666","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B21","ec00551f-c6d8-42de-80b1-4e19b08b27be","1","183","0","0.27277777773333334","0.34375","0.07097222226666666","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B19","8b916e8a-0b73-457a-8b60-e23929ad3ce3","1","183","0","0.23458333328888886","0.3055555555555555","0.07097222226666666","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B21","391459e6-ca94-4358-b1f6-72c39759c10b","1","149","0","0.3541666666666667","0.4166666666666667","0.0625","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B24a","3738ff4e-e44e-4dfe-a7de-c2cc8c2901dc","1","149","0","0.38888888888888895","0.44236111111111115","0.0534722222222222","null"
"American Airlines to Chicago, Boeing 737-800","AA","B19","2e03e465-612e-485e-ad11-21d977c446fb","1","149","0","0.4270833333333333","0.4548611111111111","0.02777777777777779","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B21","375e1441-99a6-4c6d-91f7-3e2e6e089387","1","149","0","0.43402777777777773","0.4756944444444444","0.041666666666666685","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B19","2e20eab9-5ecc-42f2-9a29-6114a3f6d818","1","149","0","0.4930555555555555","0.5381944444444444","0.045138888888888895","null"
"American Airlines to Miami, Boeing 737-800","AA","B21","224e5120-01d7-49f6-b40f-155c9d40d191","1","149","0","0.49652777777777785","0.545138888888889","0.048611111111111105","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B18a","55afbc40-3d4a-4c22-8393-c62b4ecbdd5d","1","149","0","0.5","0.5347222222222222","0.03472222222222221","null"
"American Airlines to Chicago, Boeing 737-800","AA","B17","5e68eb5c-51d8-4d6e-9428-eaed323a857e","1","149","0","0.5173611111111112","0.5625","0.04513888888888884","null"
"American Airlines to Chicago, Boeing 737-800","AA","B23","0e2918f9-1906-4b3f-9943-4fa8d083a0a8","1","149","0","0.5416666666666666","0.5902777777777778","0.04861111111111116","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B11","847c8b41-5993-4a64-9239-3d95c2fdbaaa","1","149","0","0.5590277777777778","0.5972222222222222","0.03819444444444442","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B21","f3fc066c-781f-4137-b773-d6f17e5bc412","1","149","0","0.5624999999999999","0.611111111111111","0.04861111111111116","null"
"American Airlines to Miami, Boeing 737-800","AA","B23","833fa2e5-83a3-4dd5-a92f-a0be79c366f7","1","149","0","0.638888888888889","0.6944444444444445","0.05555555555555558","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B17","bac0d982-d408-4b62-9aa5-a0ee187c962e","1","149","0","0.6388888888888888","0.6701388888888888","0.03125","null"
"American Airlines to Miami, Boeing 737-800","AA","B24b","cd358e11-4ed4-407e-987c-58c0f8a7fd18","1","149","0","0.6562500000000001","0.6944444444444445","0.03819444444444442","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B19","a16b770b-db58-4fcf-afcb-1960ddc89653","1","149","0","0.6805555555555556","0.7083333333333334","0.02777777777777779","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B17","4d2efc88-788c-4630-a4c6-395cbc1d4d76","1","149","0","0.6875","0.71875","0.03125","null"
