name,count,percentage,bags,brshop,shop,brfood,food,color
"domestic.business.departing.post9AM.false","657","10","0","50","20","71","49","#211463"
"domestic.business.departing.post9AM.true","396","6","100","49","18","73","52","#211463"
"domestic.leisure.departing.post9AM.true","682","10","100","49","18","71","49","#8F600D"
"domestic.other.departing.post9AM.true","479","7","100","48","18","70","48","#2D8677"
"domestic.leisure.departing.post9AM.false","379","6","0","46","15","69","46","#8F600D"
"domestic.other.departing.post9AM.false","422","6","0","49","19","66","43","#2D8677"
"domestic.leisure.transfer.post9AM.false","217","3","0","44","12","76","56","#B58126"
"domestic.leisure.transfer.pre9AM.false","24","0","0","37","3","76","56","#B58126"
"domestic.leisure.departing.pre9AM.true","219","3","100","54","26","72","51","#8F600D"
"domestic.business.departing.pre9AM.false","278","4","0","50","21","73","51","#211463"
"domestic.other.departing.pre9AM.false","134","2","0","44","12","72","50","#2D8677"
"domestic.other.departing.pre9AM.true","160","2","100","47","16","71","48","#2D8677"
"domestic.business.departing.pre9AM.true","142","2","100","49","18","74","54","#211463"
"domestic.leisure.departing.pre9AM.false","118","2","0","46","14","62","36","#8F600D"
"domestic.other.transfer.pre9AM.false","21","0","0","46","14","68","45","#085B4D"
"domestic.business.transfer.post9AM.false","120","2","0","54","25","77","57","#35277D"
"domestic.other.transfer.post9AM.false","166","3","0","54","26","76","56","#085B4D"
"domestic.leisure.transfer.post9AM.true","79","1","100","51","21","74","54","#B58126"
"domestic.other.transfer.post9AM.true","46","1","100","57","29","60","34","#085B4D"
"domestic.business.transfer.post9AM.true","35","1","100","54","26","67","43","#35277D"
"international.other.departing.post9AM.true","272","4","100","47","16","66","43","#187263"
"international.other.transfer.post9AM.true","48","1","100","50","21","68","45","#499B8D"
"international.business.departing.post9AM.true","193","3","100","48","17","74","53","#685BA9"
"international.leisure.departing.post9AM.true","542","8","100","49","19","72","51","#F5C673"
"international.leisure.transfer.post9AM.false","162","2","0","49","19","79","60","#D3A047"
"international.business.departing.post9AM.false","68","1","0","49","18","66","42","#685BA9"
"international.business.transfer.post9AM.false","77","1","0","51","22","78","59","#4B3D92"
"international.leisure.transfer.post9AM.true","42","1","100","50","20","77","58","#D3A047"
"international.other.transfer.post9AM.false","115","2","0","48","18","73","51","#499B8D"
"domestic.business.transfer.pre9AM.false","12","0","0","54","26","76","56","#35277D"
"domestic.other.transfer.pre9AM.true","5","0","100","35","0","48","17","#085B4D"
"international.business.transfer.post9AM.true","20","0","100","48","17","68","44","#4B3D92"
"international.leisure.departing.post9AM.false","82","1","0","48","18","64","40","#F5C673"
"international.leisure.departing.pre9AM.true","41","1","100","43","10","74","54","#F5C673"
"international.leisure.departing.pre9AM.false","9","0","0","48","17","81","63","#F5C673"
"international.other.departing.pre9AM.true","22","0","100","48","17","53","24","#187263"
"international.other.departing.post9AM.false","40","1","0","55","27","73","51","#187263"
"domestic.business.transfer.pre9AM.true","2","0","100","35","0","72","50","#35277D"
"international.business.departing.pre9AM.true","7","0","100","35","0","64","39","#685BA9"
"international.other.transfer.pre9AM.false","5","0","0","35","0","62","37","#499B8D"
"domestic.leisure.transfer.pre9AM.true","5","0","100","40","6","69","46","#B58126"
"international.other.departing.pre9AM.false","10","0","0","40","7","58","32","#187263"
"international.leisure.transfer.pre9AM.false","15","0","0","35","0","88","72","#D3A047"
"international.leisure.transfer.pre9AM.true","2","0","100","35","0","72","50","#D3A047"
"international.business.departing.pre9AM.false","15","0","0","35","0","82","64","#685BA9"
"international.other.transfer.pre9AM.true","1","0","100","35","0","100","100","#499B8D"
