name,code,gate,flightID,loadFactor,seats,count,arrival,departure,delta.arrival,color
"American Airlines to Phoenix, Airbus Industries A321","AA","B17","0ffcda4c-3836-4e83-9284-4f01acdde1bd","0.95","183","176","0.21875","0.25","0.03125","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B23","46e60a74-0c82-4e6b-973e-2645de77833e","0.95","183","163","0.3680555555555556","0.4236111111111111","0.055555555555555525","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B24b","d56ae561-453f-4dcd-93f5-1f10501195ea","0.95","183","156","0.4131944444444444","0.4583333333333333","0.045138888888888895","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B21","05e52099-9608-4d57-b429-451268b311ce","0.95","183","180","0.4305555555555556","0.46875","0.03819444444444442","null"
"American Airlines to New York, Airbus Industries A321","AA","B24a","1cdc86ab-9120-4198-8244-3efc983b287e","0.95","102","96","0.45486111111111105","0.517361111111111","0.0625","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B22","45f456ce-6ab7-4039-a45d-bd7b77ed6bdb","0.95","183","165","0.4583333333333333","0.5","0.041666666666666685","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B15","df398476-97d6-4aeb-98db-c29063eeef46","0.95","183","182","0.5145833333333334","0.5555555555555556","0.04097222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B13","d677e356-4394-4c1a-9fd9-a303a5506a58","0.95","183","181","0.5222222222222223","0.5625","0.040277777777777746","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B21","a34c748a-09fa-4965-9c9b-22eb392bd5a8","0.95","183","165","0.5493055555555556","0.6527777777777778","0.10347222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B23","e3385b6a-aa29-4146-8c5d-092131517cc4","0.95","183","180","0.6319444444444444","0.7222222222222222","0.09027777777777779","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B24a","a40a2eed-9a35-42a2-a587-6017132221db","0.95","183","170","0.65625","0.7152777777777778","0.05902777777777779","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B24a","bf09ac94-f195-4ef7-87e9-200ab15ff308","0.95","183","172","0.7875","0.9201388888888888","0.13263888888888886","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B23","c934b8bc-8f1d-4960-9076-efac52b5efd9","0.95","183","161","0.8180555555555555","0.8541666666666666","0.036111111111111094","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B23","fe3d5b5d-7946-462d-9d03-e0c8270185e6","0.95","183","153","0.8819444444444443","0.9305555555555555","0.04861111111111116","null"
"American Airlines to New York, Airbus Industries A321","AA","B24b","ff62dffa-b02f-486d-9f2a-306a5d8c6390","0.95","102","100","0.9027777777777778","0.9583333333333334","0.05555555555555558","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B15","93259552-e30f-48a4-834f-f6b5d231bede","0.95","183","179","0.3541666666666667","0.3854166666666667","0.03125","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B22","b6f98160-4c61-495e-a0ec-44f4ab07215f","0.95","183","174","0.22569444444444448","0.2569444444444445","0.03125","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B13","de68442d-7e9f-4408-a46b-01d114abdd0a","0.95","183","182","0.3125","0.34375","0.03125","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B22","5c7a1ea2-f76d-4f45-a8f2-89e905ee5f6c","0.95","183","180","0.2743055555555555","0.3055555555555555","0.03125","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B21","b4800941-23fa-4b87-9c23-63a29c638630","0.95","149","133","0.3541666666666667","0.4166666666666667","0.0625","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B24a","c3a2ace8-04cc-478e-ac54-238f01582984","0.95","149","142","0.39027777777777783","0.44236111111111115","0.052083333333333315","null"
"American Airlines to Chicago, Boeing 737-800","AA","B11","1d51b639-9ab8-4478-9df7-ac3dd53a5a77","0.95","149","140","0.4270833333333333","0.4548611111111111","0.02777777777777779","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B23","9e497992-83d1-4bfa-b440-f4420e1562bd","0.95","149","136","0.43402777777777773","0.4756944444444444","0.041666666666666685","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B21","e37ced0b-69aa-46a8-bc43-d8f1bc9962ab","0.95","149","131","0.4930555555555555","0.5381944444444444","0.045138888888888895","null"
"American Airlines to Miami, Boeing 737-800","AA","B23","85b09d7e-1b02-4cc8-be30-42d9e1c0938e","0.95","149","139","0.49652777777777785","0.545138888888889","0.048611111111111105","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B18a","2dfd2857-821f-4d5b-a6b7-fecafef7fd8f","0.95","149","141","0.5","0.5347222222222222","0.03472222222222221","null"
"American Airlines to Chicago, Boeing 737-800","AA","B17","b02e544b-4e3e-4629-a624-bb88bbfcdf3c","0.95","149","154","0.5173611111111112","0.5625","0.04513888888888884","null"
"American Airlines to Chicago, Boeing 737-800","AA","B22","7947cf7f-2bfa-4ce1-8338-a44eaaa611bc","0.95","149","139","0.5416666666666666","0.5902777777777778","0.04861111111111116","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B11","ef62924c-cefb-49b6-b8e7-6c6fe5ded8a3","0.95","149","146","0.5590277777777778","0.5972222222222222","0.03819444444444442","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B23","4cd2d399-67a7-43ea-a021-bb52cf12e3fc","0.95","149","134","0.5624999999999999","0.611111111111111","0.04861111111111116","null"
"American Airlines to Miami, Boeing 737-800","AA","B22","1d09a8f9-ca22-4710-b533-e14d748689fe","0.95","149","143","0.638888888888889","0.6944444444444445","0.05555555555555558","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B13","45af76ef-3714-46f0-91c4-ee842e14c6ef","0.95","149","142","0.6388888888888888","0.6701388888888888","0.03125","null"
"American Airlines to Miami, Boeing 737-800","AA","B24b","24eac2d6-0de3-4482-b828-9c1b670342f2","0.95","149","140","0.6562500000000001","0.6944444444444445","0.03819444444444442","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B15","cf870d29-5531-494b-8875-13a003dd6bfb","0.95","149","131","0.6805555555555556","0.7083333333333334","0.02777777777777779","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B13","72cc5fc5-fb87-4351-9de6-3890a43dc6d1","0.95","149","132","0.6875","0.71875","0.03125","null"
"American Airlines to Chicago, Boeing 737-800","AA","B21","bbbbb30e-43bc-47e6-a976-17590ad12cab","0.95","149","137","0.704861111111111","0.7430555555555555","0.03819444444444442","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B24b","4c018c9f-a233-42c5-9431-50c7bded0b14","0.95","149","134","0.7256944444444444","0.8368055555555555","0.11111111111111105","null"
"American Airlines to Miami, Boeing 737-800","AA","B21","2c32f697-d28b-4e5a-a4a4-5ceeba7ca987","0.95","149","130","0.78125","0.8715277777777778","0.09027777777777779","null"
"American Airlines to Chicago, Boeing 737-800","AA","B24a","e9e6db31-4214-4e71-bf22-ea42701fd322","0.95","149","130","0.9583333333333334","0.9861111111111112","0.02777777777777779","null"
"American Airlines to Chicago, Boeing 737-800","AA","B21","bb999a2c-21ce-454c-8fdc-547679996697","0.95","149","148","0.22916666666666669","0.2604166666666667","0.03125","null"
"American Airlines to Chicago, Boeing 737-800","AA","B13","18e2797d-06a3-40ec-8251-c1289271deef","0.95","149","147","0.3576388888888889","0.3888888888888889","0.03125","null"
"American Airlines to Miami, Boeing 737-800","AA","B24b","00b0429e-a7f1-4474-b557-84e7ab0ca950","0.95","149","133","0.21875","0.25","0.03125","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B23","fb5f59d2-a2c6-48a7-8c1a-0c1a1e0e4109","0.95","149","140","0.23958333333333331","0.2708333333333333","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B24a","e95e1d05-4e27-434f-9ae1-7eba887344f8","0.95","149","147","0.21875","0.25","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B21","91a6a302-6e88-4212-be5c-ebc32c67696f","0.95","149","141","0.2951388888888889","0.3263888888888889","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B23","2f4fb36e-3581-4d1c-a58f-87d088f8282e","0.95","149","139","0.31597222222222227","0.34722222222222227","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B22","bc161183-5aba-4a02-9bf0-2c7f14634b1e","0.95","149","141","0.375","0.40625","0.03125","null"
"American Airlines to New York, Boeing 777","AA","B24","6d8555ab-0e4f-4ff0-a836-0669dfa18816","0.95","247","239","0.2638888888888889","0.2986111111111111","0.03472222222222221","null"
"American Airlines to New York, Boeing 777","AA","B20","ea35af7d-2929-4760-8a45-be553b38e056","0.95","304","277","0.3506944444444445","0.3854166666666667","0.03472222222222221","null"
"American Airlines to Dallas-Fort Worth, Boeing 787-800","AA","B24","fae32d87-1e60-4326-9aad-1f27f09558a9","0.95","219","229","0.3368055555555556","0.37847222222222227","0.041666666666666685","null"
"American Airlines to New York, Boeing 787-800","AA","B24","b4343a01-c3e6-42c5-b894-30f3eae0c198","0.95","219","233","0.53125","0.6354166666666666","0.10416666666666663","null"
"Air France to Paris, Airbus A380","AF","B14","68eae597-400a-4ca2-8133-670e64c399fb","0.95","516","485","0.6180555555555555","0.7430555555555555","0.125","null"
"Air France to Paris, Boeing 777","AF","B10","898fbe28-e75c-47f2-96e3-a89df962126e","0.95","310","291","0.5416666666666667","0.6527777777777778","0.11111111111111105","null"
"Air France to Paris, Boeing 777","AF","B14","ee4a6e7f-a5e4-48f2-8c27-79f9fbfbb130","0.95","310","299","0.7743055555555556","0.8923611111111112","0.11805555555555558","null"
"Alaska Airlines to Seattle, Boeing 737-800","AS","B17","dfc83e1e-94b5-434e-929e-d13794b833e5","0.95","157","136","0.3611111111111111","0.4236111111111111","0.0625","null"
"Alaska Airlines to Portland, Boeing 737-800","AS","B17","a6f4d6f7-5558-4094-bb2d-dc23f78efb18","0.95","157","145","0.59375","0.6319444444444444","0.03819444444444442","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B11","32d7eb74-1436-4641-ac59-659527d984da","0.95","172","159","0.3541666666666667","0.3854166666666667","0.03125","null"
