name,code,gate,flightID,loadFactor,seats,count,arrival,departure,delta.arrival,color
"American Airlines to Phoenix, Airbus Industries A321","AA","B24b","b844b9e1-c33d-4dea-a110-960bb18d7cdd","1","183","172","0.21875","0.25","0.03125","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B15","496cba05-6084-441a-9eb0-6953f457f0b7","1","183","190","0.3680555555555556","0.4236111111111111","0.055555555555555525","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B23","9124d303-c51d-47b8-9d86-508a3b32fd67","1","183","187","0.4131944444444444","0.4583333333333333","0.045138888888888895","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B3","fac79fe1-4b67-4158-a6e9-e1aa9b794e6f","1","183","184","0.4305555555555556","0.46875","0.03819444444444442","null"
"American Airlines to New York, Airbus Industries A321","AA","B21","fffad538-6b74-41bf-b163-3cf3a5e4356a","1","102","104","0.45486111111111105","0.517361111111111","0.0625","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B4","8979aab3-425c-4d8d-9324-a8205b6268ce","1","183","186","0.4583333333333333","0.5","0.041666666666666685","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B9","1297cea0-1c51-4876-9329-b5957671074e","1","183","163","0.5145833333333334","0.5555555555555556","0.04097222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B23","4ed1a9c9-57b5-4324-8a8a-d2a241f9e795","1","183","185","0.5222222222222223","0.5625","0.040277777777777746","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B17","b409de2f-6359-4531-9e9d-15781e01bd50","1","183","183","0.5493055555555556","0.6527777777777778","0.10347222222222219","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B15","ea764bf5-8462-4647-9fcc-a55fe616246f","1","183","189","0.6319444444444444","0.7222222222222222","0.09027777777777779","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B1","5cca0493-7292-4a20-9d07-add4ca2d48d1","1","183","173","0.65625","0.7152777777777778","0.05902777777777779","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B2","a1616a8a-7257-4427-83cc-cc92092478e1","1","183","185","0.7875","0.9201388888888888","0.13263888888888886","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B4","791f12e0-3902-4b0b-984c-723729c7b06b","1","183","177","0.8180555555555555","0.8541666666666666","0.036111111111111094","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B7a","037c6783-bb74-4259-981d-49f1f7e03eb5","1","183","174","0.8819444444444443","0.9305555555555555","0.04861111111111116","null"
"American Airlines to New York, Airbus Industries A321","AA","B14a","bce80fea-0df8-4d89-8ed7-5093d65ac1fd","1","102","105","0.9027777777777778","0.9583333333333334","0.05555555555555558","null"
"American Airlines to Phoenix, Airbus Industries A321","AA","B11","5c83a63a-734a-43e8-a0c3-b2d5544bc3de","1","183","194","0.3541666666666667","0.3854166666666667","0.03125","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B24a","ab9cf9bd-ba13-4d9c-895f-bd40991db2c4","1","183","180","0.22569444444444448","0.2569444444444445","0.03125","null"
"American Airlines to Philadelphia, Airbus Industries A321","AA","B5","0f0932a2-f57f-4db4-85ac-f485887a20a6","1","183","173","0.3125","0.34375","0.03125","null"
"American Airlines to Charlotte, Airbus Industries A321","AA","B24b","845d964a-6733-4ade-85bf-977ae9c0cf55","1","183","183","0.2743055555555555","0.3055555555555555","0.03125","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B2","ead2a604-7a7e-4edf-ada7-699b7f4f79b3","1","149","146","0.3541666666666667","0.4166666666666667","0.0625","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B6a","de59f12d-306d-4b04-9f35-537c25bdf683","1","149","135","0.39027777777777783","0.44236111111111115","0.052083333333333315","null"
"American Airlines to Chicago, Boeing 737-800","AA","B1","50eeb4fc-30e2-4349-807d-7fcb05db9846","1","149","151","0.4270833333333333","0.4548611111111111","0.02777777777777779","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B6b","39d0f96d-1649-42b7-9b7c-125656a19de4","1","149","139","0.43402777777777773","0.4756944444444444","0.041666666666666685","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B13","893b4dfe-6847-4d1c-9338-0d9cb4fe2adf","1","149","150","0.4930555555555555","0.5381944444444444","0.045138888888888895","null"
"American Airlines to Miami, Boeing 737-800","AA","B10a","5fbf937b-4cda-45cb-a654-f3d7077fe9d6","1","149","155","0.49652777777777785","0.545138888888889","0.048611111111111105","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B15","4dd30052-6717-4cfb-b222-3734e4850712","1","149","139","0.5","0.5347222222222222","0.03472222222222221","null"
"American Airlines to Chicago, Boeing 737-800","AA","B3","3147c310-45e3-4771-a7b7-38762c78e406","1","149","142","0.5173611111111112","0.5625","0.04513888888888884","null"
"American Airlines to Chicago, Boeing 737-800","AA","B5","aa10360a-a03d-4004-80a7-8fb52933398a","1","149","148","0.5416666666666666","0.5902777777777778","0.04861111111111116","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B1","8b1f893b-73fa-484f-a705-f7c32389870d","1","149","149","0.5590277777777778","0.5972222222222222","0.03819444444444442","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B19","8b15e010-b0d2-4b29-b930-3ab9128eaeb8","1","149","139","0.5624999999999999","0.611111111111111","0.04861111111111116","null"
"American Airlines to Miami, Boeing 737-800","AA","B21","d328f228-9089-4070-a04b-457fdb1711da","1","149","158","0.638888888888889","0.6944444444444445","0.05555555555555558","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B20a","934e622f-38e1-4560-a2b5-72e3899efbe2","1","149","154","0.6388888888888888","0.6701388888888888","0.03125","null"
"American Airlines to Miami, Boeing 737-800","AA","B2","fc229f5a-a67d-4986-91f6-db0ae6cae625","1","149","139","0.6562500000000001","0.6944444444444445","0.03819444444444442","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B24a","0a235de6-093b-47a1-a2c6-3978c3b60aa8","1","149","162","0.6805555555555556","0.7083333333333334","0.02777777777777779","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B24b","4afdf744-b0cd-4f98-9050-048dce5fa2e7","1","149","138","0.6875","0.71875","0.03125","null"
"American Airlines to Chicago, Boeing 737-800","AA","B17","4c9f3c54-1db6-499e-a9fe-2c293a1c0d37","1","149","162","0.704861111111111","0.7430555555555555","0.03819444444444442","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B21","0e0067f5-c242-4674-8900-ad2a142379ec","1","149","155","0.7256944444444444","0.8368055555555555","0.11111111111111105","null"
"American Airlines to Miami, Boeing 737-800","AA","B7a","3e3c5b8e-206b-4be2-8e5a-e4889d9a1755","1","149","140","0.78125","0.8715277777777778","0.09027777777777779","null"
"American Airlines to Chicago, Boeing 737-800","AA","B3","22b835ed-1eeb-4fa0-8d49-20c9e358b9f0","1","149","132","0.9583333333333334","0.9861111111111112","0.02777777777777779","null"
"American Airlines to Chicago, Boeing 737-800","AA","B19","48b632ab-a708-46ad-8b90-97d4147c757b","1","149","155","0.22916666666666669","0.2604166666666667","0.03125","null"
"American Airlines to Chicago, Boeing 737-800","AA","B10a","2177b6d3-9fc0-41c1-93ed-3fc3c6d23283","1","149","142","0.3576388888888889","0.3888888888888889","0.03125","null"
"American Airlines to Miami, Boeing 737-800","AA","B6b","b2d382ca-369d-40bb-b4e6-564b27e53245","1","149","149","0.21875","0.25","0.03125","null"
"American Airlines to Los Angeles, Boeing 737-800","AA","B7a","1da13711-a251-4082-a2d2-ebb7cf457c96","1","149","157","0.23958333333333331","0.2708333333333333","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B22","2ac57b52-cb98-4192-aa0e-f03447f17e07","1","149","155","0.21875","0.25","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B3","a6e9624f-efd4-4c50-8c10-a4651fd3b9c7","1","149","149","0.2951388888888889","0.3263888888888889","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B4","6bd0490b-44bf-4d5e-b8ff-865f0f74a36e","1","149","135","0.31597222222222227","0.34722222222222227","0.03125","null"
"American Airlines to Dallas-Fort Worth, Boeing 737-800","AA","B19","5da35cd1-8b71-4ef8-9c64-8966801ad5ec","1","149","133","0.375","0.40625","0.03125","null"
"American Airlines to New York, Boeing 777","AA","B18","1d20653f-f821-49c8-98ec-3709ad59f1c1","1","247","242","0.2638888888888889","0.2986111111111111","0.03472222222222221","null"
"American Airlines to New York, Boeing 777","AA","B20","08d8e51e-0269-43d8-9acb-a2e6bea070fe","1","304","303","0.3506944444444445","0.3854166666666667","0.03472222222222221","null"
"American Airlines to Dallas-Fort Worth, Boeing 787-800","AA","B7","ffd222a3-3d46-4446-b096-37a0ceb3a006","1","219","215","0.3368055555555556","0.37847222222222227","0.041666666666666685","null"
"American Airlines to New York, Boeing 787-800","AA","B7","8d5e3d5c-2c1d-463d-b3a0-d24e708d90ef","1","219","254","0.53125","0.6354166666666666","0.10416666666666663","null"
"Air France to Paris, Airbus A380","AF","B10","98d2f815-f61c-47bd-a335-0ce11527805b","1","516","510","0.6180555555555555","0.7430555555555555","0.125","null"
"Air France to Paris, Boeing 777","AF","B24","3c3e27e1-7c6e-4632-ab19-23cc248efca0","1","310","312","0.5416666666666667","0.6527777777777778","0.11111111111111105","null"
"Air France to Paris, Boeing 777","AF","B24","8dbc15b1-0380-4ff8-abac-78927d87e968","1","310","297","0.7743055555555556","0.8923611111111112","0.11805555555555558","null"
"Alaska Airlines to Seattle, Boeing 737-800","AS","B18a","6c468d73-9d7c-4ac8-a564-4d86db0717ba","1","157","160","0.3611111111111111","0.4236111111111111","0.0625","null"
"Alaska Airlines to Portland, Boeing 737-800","AS","B3","7dac1028-5f04-40a8-9948-0776511127a3","1","157","144","0.59375","0.6319444444444444","0.03819444444444442","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B13","c2961ec5-b208-415b-b0a5-00ff15d596aa","1","172","160","0.3541666666666667","0.3854166666666667","0.03125","null"
"Alaska Airlines to Puerto Vallarta, Boeing 737-900","AS","B14a","555d6077-8941-486d-bf72-a7a17b44a191","1","172","161","0.39583333333333337","0.4479166666666667","0.052083333333333315","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B6a","5fddcb30-18a5-4a90-9c5f-e78668ba013f","1","172","153","0.7986111111111112","0.8298611111111112","0.03125","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B22","d8876f77-cbcd-43cc-b07c-526c42a839a9","1","172","178","0.50625","0.5416666666666666","0.03541666666666665","null"
"Alaska Airlines to Palm Springs, Boeing 737-900","AS","B22","0a344200-cc4d-42a8-9fa5-f9253ac00fdb","1","172","164","0.5888888888888889","0.6180555555555556","0.029166666666666674","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B5","ff8a1099-62d7-4614-b26d-0a7ad66fda59","1","172","165","0.6805555555555556","0.7048611111111112","0.02430555555555558","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B1","7d326e4b-eee0-484b-9014-07714b2bd8ad","1","172","167","0.7777777777777778","0.8125","0.03472222222222221","null"
"Alaska Airlines to Portland, Boeing 737-900","AS","B5","f2e7ca3d-ebec-4826-b937-a2067369fbcb","1","172","172","0.7861111111111112","0.8506944444444445","0.06458333333333333","null"
"Alaska Airlines to Palm Springs, Boeing 737-900","AS","B13","f2e58274-5a06-42f6-bafc-07ae793f9b68","1","172","178","0.8472222222222222","0.8715277777777778","0.02430555555555558","null"
"Alaska Airlines to Seattle, Boeing 737-900","AS","B24a","4cc3cfac-40b5-475d-954b-1f32b38b3bc4","1","172","186","0.2708333333333333","0.3020833333333333","0.03125","null"
"Alaska Airlines to Portland, Boeing 737-900","AS","B20a","0057e031-0b15-489b-8e2f-512ef8173c96","1","172","175","0.2604166666666667","0.2916666666666667","0.03125","null"
"Horizon Air to Portland, De Havilland Bombardier Dash 8","QX","B21","cd48d0f8-4011-48d1-a13c-9b5d217084b4","1","74","94","0.34375","0.375","0.03125","null"
