FLIGHT,DESTGEO,BAREA,STRATA,PEAK,DEPTIME,ARRTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q4BAGS,Q4STORE,Q4FOOD,Q8COM1,Q8COM2,Q8COM3,HOME,Q17COUNTRY,Q18AGE,Q19GENDER,Q21FLY,WEIGHT
242,3,D,1,2,0.305555556,0.25,80,2,,,1,2,2,20,,,3,US,6,0,2,0.720538
1777,4,A,1,3,0.333333333,0.25,120,3,,,2,2,1,,,,13,CANADA,6,2,1,0.669478
1777,4,A,1,3,0.333333333,0.260416667,105,2,,,1,2,2,999,,,13,CANADA,2,1,2,0.669478
242,3,D,1,2,0.305555556,0.291666667,20,3,,,2,2,2,,,,11,US,2,2,1,0.720538
1777,4,A,1,3,0.333333333,0.239583333,135,1,,,2,2,1,,,,1,US,3,1,2,0.669478
1777,4,A,1,3,0.333333333,0.25,120,1,,,2,2,1,103,403,,99,0,0,0,0,0.669478
1777,4,A,1,3,0.333333333,0.239583333,135,1,,,2,2,2,35,311,,2,US,4,1,3,0.669478
242,3,D,1,2,0.305555556,0.243055556,90,1,,,2,2,1,103,202,,7,US,5,0,2,0.720538
1777,4,A,1,3,0.333333333,0.236111111,140,3,,,2,2,1,,,,4,US,1,1,1,0.669478
242,3,D,1,2,0.305555556,0.263888889,60,3,,,2,2,1,,,,4,US,2,2,2,0.720538
1777,4,A,1,3,0.333333333,N,N,0,,,1,2,1,705,,,13,CANADA,2,2,2,0.669478
242,3,D,1,2,0.305555556,0.229166667,110,3,,,1,1,1,992,,,12,US,7,2,2,0.720538
1777,4,A,1,3,0.333333333,0.25,120,3,,,1,1,2,,,,13,CANADA,6,2,2,0.669478
1777,4,A,1,3,0.333333333,0.25,120,0,,,1,2,2,,,,13,CANADA,3,1,2,0.669478
242,3,D,1,2,0.305555556,0.25,80,1,,,1,2,1,,,,11,US,3,1,2,0.720538
1777,4,A,1,3,0.333333333,0.25,120,1,,,2,2,1,,,,4,US,4,2,2,0.669478
242,3,D,1,2,0.305555556,0.232638889,105,2,,,1,0,1,,,,5,US,7,2,1,0.720538
1777,4,A,1,3,0.333333333,0.208333333,180,2,,,1,1,1,,,,10,US,7,0,1,0.669478
1777,4,A,1,3,0.333333333,0.267361111,95,3,,,2,2,1,,,,13,CANADA,7,1,2,0.669478
242,3,D,1,2,0.305555556,0.25,80,3,,,1,2,1,,,,5,US,6,2,2,0.720538
1777,4,A,1,3,0.333333333,0.208333333,180,2,,,1,2,2,302,,,3,US,7,2,2,0.669478
242,3,D,1,2,0.305555556,0.256944444,70,1,,,2,1,2,611,,,8,US,5,1,1,0.720538
1777,4,A,1,3,0.333333333,0.236111111,140,2,,,1,1,0,,,,2,US,3,1,3,0.669478
1777,4,A,1,3,0.333333333,0.25,120,2,3,,1,2,2,,,,3,US,2,2,2,0.669478
1777,4,A,1,3,0.333333333,0.229166667,150,2,,,1,1,1,,,,6,US,7,2,2,0.669478
1777,4,A,1,3,0.333333333,0.208333333,180,1,,,1,2,1,,,,13,CANADA,3,2,2,0.669478
242,3,D,1,2,0.305555556,0.229166667,110,1,,,2,1,1,,,,4,US,5,1,2,0.720538
1777,4,A,1,3,0.333333333,0.229166667,150,6,,,1,1,0,999,,,10,US,5,2,2,0.669478
1777,4,A,1,3,0.263888889,N,N,4,,,2,2,2,999,,,99,0,0,0,0,0.669478
242,3,D,1,2,0.305555556,0.253472222,75,3,,,2,1,2,8,,,10,US,7,2,2,0.720538
1777,4,A,1,3,0.333333333,0.25,120,2,,,1,0,1,208,506,,13,CANADA,4,1,1,0.669478
1777,4,A,1,3,0.333333333,0.270833333,90,2,3,,1,1,1,102,,,13,CANADA,3,1,1,0.669478
242,3,D,1,2,0.305555556,0.260416667,65,2,3,,2,2,1,24,,,11,US,6,2,2,0.720538
