airline,aircraft,seats,tt,time,di,flight,destination
AA,321,183,5:09,6:00,domestic,3,PHX
AA,321,183,1:20,10:10,domestic,,CLT
AA,321,183,1:05,11:00,domestic,658,PHL
AA,321,183,0:55,11:15,domestic,464,CLT
AA,321,102,1:30,12:25,domestic,16,JFK
AA,321,183,1:00,12:00,domestic,224,PHX
AA,321,183,0:59,13:20,domestic,1677,CLT
AA,321,183,0:58,13:30,domestic,651,PHL
AA,321,183,2:29,15:40,domestic,239,PHX
AA,321,183,2:10,17:20,domestic,,PHL
AA,321,183,1:25,17:10,domestic,408,PHX
AA,321,183,3:11,22:05,domestic,648,PHL
AA,321,183,0:52,20:30,domestic,418,PHX
AA,321,183,1:10,22:20,domestic,942,CLT
AA,321,102,1:20,23:00,domestic,18,JFK
AA,321,183,,9:15,domestic,685,PHX
AA,321,183,,6:10,domestic,650,PHL
AA,321,183,,8:15,domestic,708,PHL
AA,321,183,,0:05,domestic,466,CLT
AA,321,183,,7:20,domestic,1454,CLT
AA,738,149,1:30,10:00,domestic,1915,LAX
AA,738,149,1:17,10:37,domestic,2034,DFW
AA,738,149,0:40,10:55,domestic,892,ORD
AA,738,149,1:00,11:25,domestic,2090,DFW
AA,738,149,1:05,12:55,domestic,332,DFW
AA,738,149,1:10,13:05,domestic,442,MIA
AA,738,149,0:50,12:50,domestic,1923,LAX
AA,738,149,1:05,13:30,domestic,,ORD
AA,738,149,1:10,14:10,domestic,554,ORD
AA,738,149,0:55,14:20,domestic,1931,LAX
AA,738,149,1:10,14:40,domestic,566,DFW
AA,738,149,1:20,16:40,domestic,,MIA
AA,738,149,0:45,16:05,domestic,1062,DFW
AA,738,149,0:55,16:40,domestic,NEW11,MIA
AA,738,149,0:40,17:00,domestic,1528,DFW
AA,738,149,0:45,17:15,domestic,1978,LAX
AA,738,149,0:55,17:50,domestic,618,ORD
AA,738,149,2:40,20:05,domestic,1943,LAX
AA,738,149,2:10,20:55,domestic,272,MIA
AA,738,149,0:40,23:40,domestic,1522,ORD
AA,738,149,,6:15,domestic,1324,ORD
AA,738,149,,9:20,domestic,1612,ORD
AA,738,149,,6:00,domestic,1990,MIA
AA,738,149,,6:30,domestic,1929,LAX
