airline,aircraft,seats,tt,time,di,flight,destination
AA,321,183,5:09,6:00,D,3,PHX
AA,321,183,1:20,10:10,D,,CLT
AA,321,183,1:05,11:00,D,658,PHL
AA,321,183,0:55,11:15,D,464,CLT
AA,321,102,1:30,12:25,D,16,JFK
AA,321,183,1:00,12:00,D,224,PHX
AA,321,183,0:59,13:20,D,1677,CLT
AA,321,183,0:58,13:30,D,651,PHL
AA,321,183,2:29,15:40,D,239,PHX
AA,321,183,2:10,17:20,D,,PHL
AA,321,183,1:25,17:10,D,408,PHX
AA,321,183,3:11,22:05,D,648,PHL
AA,321,183,0:52,20:30,D,418,PHX
AA,321,183,1:10,22:20,D,942,CLT
AA,321,102,1:20,23:00,D,18,JFK
AA,321,183,,9:15,D,685,PHX
AA,321,183,,6:10,D,650,PHL
AA,321,183,,8:15,D,708,PHL
AA,321,183,,0:05,D,466,CLT
AA,321,183,,7:20,D,1454,CLT
AA,738,149,1:30,10:00,D,1915,LAX
AA,738,149,1:17,10:37,D,2034,DFW
AA,738,149,0:40,10:55,D,892,ORD
AA,738,149,1:00,11:25,D,2090,DFW
AA,738,149,1:05,12:55,D,332,DFW
AA,738,149,1:10,13:05,D,442,MIA
AA,738,149,0:50,12:50,D,1923,LAX
AA,738,149,1:05,13:30,D,,ORD
AA,738,149,1:10,14:10,D,554,ORD
AA,738,149,0:55,14:20,D,1931,LAX
AA,738,149,1:10,14:40,D,566,DFW
AA,738,149,1:20,16:40,D,,MIA
AA,738,149,0:45,16:05,D,1062,DFW
AA,738,149,0:55,16:40,D,NEW11,MIA
AA,738,149,0:40,17:00,D,1528,DFW
AA,738,149,0:45,17:15,D,1978,LAX
AA,738,149,0:55,17:50,D,618,ORD
AA,738,149,2:40,20:05,D,1943,LAX
AA,738,149,2:10,20:55,D,272,MIA
AA,738,149,0:40,23:40,D,1522,ORD
AA,738,149,,6:15,D,1324,ORD
AA,738,149,,9:20,D,1612,ORD
AA,738,149,,6:00,D,1990,MIA
AA,738,149,,6:30,D,1929,LAX
AA,738,149,,0:25,D,2466,DFW
AA,738,149,,6:00,D,520,DFW
AA,738,149,,7:50,D,490,DFW
AA,738,149,,8:20,D,802,DFW
AA,738,149,,9:45,D,1994,DFW
AA,772,247,,7:10,D,24,JFK
AA,773,304,,9:15,D,12,JFK
AA,788,219,1:00,9:05,D,,DFW
AA,788,219,2:30,15:15,D,20,JFK
AF,380,516,3:00,17:50,I,,CDG
AF,773,310,2:40,15:40,I,83,CDG
AF,773,310,2:50,21:25,I,85,CDG
AS,738,157,1:30,10:10,D,303,SEA
AS,738,157,0:55,15:10,D,387,PDX
AS,739,172,0:45,9:15,D,307,SEA
AS,739,172,1:15,10:45,I,220,PVR
AS,739,172,10:04,19:55,D,317,SEA
AS,739,172,0:51,13:00,D,305,SEA
AS,739,172,0:42,14:50,D,312,PSP
AS,739,172,0:35,16:55,D,313,SEA
AS,739,172,0:50,19:30,D,,SEA
AS,739,172,1:33,20:25,D,231,PDX
AS,739,172,0:35,20:55,D,302,PSP
AS,739,172,,7:15,D,315,SEA
AS,739,172,,7:00,D,385,PDX
QX,DH4,74,0:45,9:00,D,2500,PDX
QX,DH4,74,0:35,13:20,D,2634,PDX
QX,DH4,74,0:35,17:55,D,2614,PDX
B6,321,183,5:49,7:00,D,632,BOS
B6,321,183,0:43,9:14,D,1437,LGB
B6,321,183,0:50,10:50,D,644,JFK
B6,321,183,1:05,11:15,D,,LGB
B6,321,183,0:50,12:06,D,1435,LGB
B6,321,183,0:50,13:40,D,634,BOS
B6,321,183,0:51,17:00,D,1404,AUS
B6,321,183,0:45,19:15,D,1441,LGB
B6,321,183,1:11,21:00,D,648,JFK
B6,321,183,0:50,22:20,D,636,BOS
B6,321,183,0:45,22:20,D,278,FLL
B6,321,183,0:52,23:59,D,650,JFK
B6,321,183,,8:00,D,640,JFK
BA,351,369,2:00,14:15,I,,LHR
BA,351,369,2:05,18:55,I,286,LHR
BA,380,469,2:30,16:55,I,284,LHR
DL,319,126,1:10,17:20,D,,JFK
DL,320,150,0:55,12:25,D,2305,MSP
DL,320,150,0:35,18:25,D,1380,SLC
DL,320,150,,6:05,D,1382,SLC
DL,333,293,1:28,11:50,D,2049,ATL
DL,333,293,,7:30,D,1866,ATL
DL,738,160,5:55,6:00,D,240,ATL
DL,738,160,1:49,8:00,D,268,JFK
DL,738,160,0:45,9:05,D,,SLC
DL,738,160,1:05,11:30,D,1940,JFK
DL,738,160,2:45,13:35,D,2254,DTW
DL,738,160,2:36,14:25,D,1680,ATL
DL,738,160,2:35,16:00,D,2040,JFK
DL,738,160,4:13,17:55,D,2153,MSP
DL,738,160,0:50,15:00,D,2105,MSP
DL,738,160,1:10,16:40,D,,ATL
DL,738,160,0:47,18:17,D,1151,HNL
DL,738,160,5:08,23:00,D,2396,CVG
DL,738,160,3:53,22:30,D,1880,ATL
DL,738,160,1:00,20:20,D,,LAX
DL,738,160,3:18,22:50,D,1988,DTW
DL,738,160,4:05,23:45,D,1221,ATL
DL,738,160,1:30,21:15,D,2240,JFK
DL,738,160,1:55,23:15,D,2340,JFK
DL,738,160,,6:25,D,906,MSP
DL,738,160,,6:15,D,1859,JFK
DL,738,160,,8:05,D,NEW5,DTW
DL,738,160,,9:15,D,2289,DTW
DL,738,160,,8:55,D,1480,ATL
DL,739,180,0:50,10:00,D,1447,MSP
DL,739,180,1:02,13:10,D,2375,SLC
DL,739,180,,7:45,D,1106,MSP
DL,739,180,,7:05,D,854,DTW
OO,319,126,0:34,8:30,D,4601,LAX
OO,319,126,0:37,9:30,D,4602,LAX
OO,319,126,0:37,10:23,D,4620,SLC
OO,319,126,0:55,10:50,D,4603,LAX
OO,319,126,0:36,12:50,D,4604,LAX
OO,319,126,0:36,14:00,D,4605,LAX
OO,319,126,0:35,15:00,D,4606,LAX
OO,319,126,0:34,16:43,D,4588,SLC
OO,319,126,1:01,18:35,D,4608,LAX
OO,319,126,0:42,19:35,D,4609,LAX
OO,319,126,0:39,21:10,D,4610,LAX
OO,319,126,,6:20,D,4600,LAX
OO,320,150,0:38,17:00,D,4607,LAX
EK,380,526,3:40,16:45,I,226,DXB
EK,380,526,2:55,19:15,I,,DXB
F9,320,162,0:42,14:35,D,652,DEN
F9,321,180,0:42,10:30,D,654,DEN
F9,321,180,0:50,17:05,D,,DEN
F9,321,180,0:43,19:05,D,662,DEN
F9,321,180,,6:10,D,650,DEN
HA,332,267,1:20,14:20,D,,HNL
HA,332,294,,8:55,D,11,HNL
KL,773,425,2:10,13:55,I,606,AMS
SY,737,129,0:50,17:40,D,396,MSP
SY,738,162,0:45,9:55,D,392,MSP
OO,DH4,74,1:49,12:20,D,6287,SBA
WN,737,143,0:30,7:50,D,557,MKE
WN,737,143,0:25,8:15,D,296,PHX
WN,737,143,0:30,8:20,D,47,LAX
WN,737,143,0:40,9:35,D,270,SAN
WN,737,143,0:50,10:10,D,,FLL
WN,737,143,0:35,9:55,D,NEW27,DEN
WN,737,143,0:30,9:55,D,636,MDW
WN,737,143,0:30,10:20,D,582,LAX
WN,737,143,0:30,10:40,D,430,SNA
WN,737,143,0:40,11:45,D,363,SAN
WN,737,143,0:35,12:50,D,3050,PHX
WN,737,143,0:35,13:20,D,418,MDW
WN,737,143,0:35,13:40,D,941,MKE
WN,737,143,0:30,13:50,D,,PHX
WN,737,143,0:30,14:00,D,2628,DEN
WN,737,143,0:35,14:20,D,1382,SAN
WN,737,143,0:35,14:30,D,893,LAX
WN,737,143,0:40,15:25,D,2591,PHX
WN,737,143,0:35,15:25,D,755,SAN
WN,737,143,0:30,16:05,D,3850,LAX
WN,737,143,0:30,16:35,D,927,SAN
WN,737,143,0:35,16:45,D,1812,LAX
WN,737,143,0:30,17:25,D,3399,LAS
WN,737,143,0:35,17:35,D,2525,SAN
WN,737,143,0:40,18:00,D,,SAN
WN,737,143,0:30,18:10,D,3309,LAS
WN,737,143,0:35,18:30,D,1174,PHX
WN,737,143,0:30,19:00,D,208,SNA
WN,737,143,0:35,19:10,D,499,SAN
WN,737,143,0:45,19:25,D,812,DEN
WN,737,143,0:35,19:50,D,NEW9,DEN
WN,737,143,4:39,23:59,D,710,ATL
WN,737,143,0:35,20:50,D,282,LAX
WN,737,143,0:30,20:50,D,3306,SNA
WN,737,143,0:35,20:55,D,567,SAN
WN,737,143,0:30,21:30,D,235,LAS
WN,737,143,0:45,22:15,D,,STL
WN,737,143,0:30,22:00,D,624,PHX
WN,737,143,,6:45,D,1112,SNA
WN,737,143,,7:35,D,1023,SNA
WN,737,143,,7:05,D,667,SAN
WN,737,143,,6:25,D,258,MDW
WN,737,143,,6:00,D,3959,LAX
WN,737,143,,6:00,D,3336,LAS
WN,737,143,,7:05,D,618,LAS
WN,737,143,,6:05,D,3069,DEN
WN,737,143,,6:30,D,2891,ATL
WN,738,175,0:25,8:30,D,1910,DEN
WN,738,175,0:30,9:15,D,NEW25,MKE
WN,738,175,0:35,9:35,D,1814,LAX
WN,738,175,0:30,10:50,D,497,LAS
WN,738,175,0:35,11:30,D,2675,LAX
WN,738,175,0:35,11:50,D,,LAX
WN,738,175,1:00,13:40,D,610,ATL
WN,738,175,0:40,13:35,D,848,SNA
WN,738,175,0:35,13:45,D,675,LAS
WN,738,175,0:40,15:55,D,994,SNA
WN,738,175,1:00,18:10,D,,SAN
WN,738,175,0:35,18:55,D,3831,LAX
WN,738,175,0:30,21:55,D,521,LAX
